COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
EGAN HUB STORAGE,51756.0,37060.0,45322.0,55863.0,,,,
"ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K BOYD TRUSTEES",,,,,1347.0,1333.0,1216.0,1051.0
"ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K. BOYD TRUSTEES",1972.0,2302.0,2437.0,2117.0,,,,
ELK PETROLEUM,,,,,,,,124545.0
ELK PETROLEUM MADDEN GAS & CO2,,,,,,,100024.0,
ELM RIDGE EXPLORATION COMPANY,,113064.0,106522.0,107905.0,,,,
ENABLE MIDSTREAM PARTNERS,,,178223.0,1984867.0,1426271.0,3455722.0,4287280.0,4509226.0
ENBRIDGE,1111918.0,1314109.0,1185442.0,1024906.0,1014634.0,2160924.0,3736070.0,2757585.0
ENCANA OIL & GAS (USA),1350629.0,1497257.0,1480743.0,1527844.0,1302966.0,1057663.0,1274788.0,1337949.0
ENCINO ENERGY,,,,,810019.0,11022.0,10935.0,11858.0
ENDEAVOR ENERGY RESOURCES,288166.0,312226.0,329778.0,339254.0,280746.0,267075.0,262920.0,632775.0
ENDURING RESOURCES,,,,,,,153085.0,241004.0
ENEERVEST OPERATING,,,123788.0,183632.0,124468.0,171146.0,753883.0,645347.0
ENERGEN,543344.0,497699.0,457752.0,439904.0,263343.0,475819.0,382736.0,
ENERGY CORP OF AMERICA,43878.0,39745.0,35617.0,40924.0,44151.0,95279.0,77685.0,82838.0
ENERGY RESOURCE TECHNOLOGY,91877.0,31026.0,25977.0,49025.0,,,,
ENERGY TRANSFER PARTNERS,1932428.0,4347338.0,4124251.0,4358246.0,5399094.0,16982839.0,11793393.0,13645082.0
ENERGY XXI,241513.0,232586.0,244785.0,316572.0,426291.0,456887.0,282881.0,283064.0
ENERPLUS RESOURCES,219771.0,168039.0,197165.0,509958.0,386400.0,325756.0,542803.0,641677.0
ENERVEST OPERATING,3684014.0,1814306.0,1926554.0,2015313.0,1794508.0,2162453.0,2225121.0,1785479.0
"ENERVEST OPERATING, LLC",,394282.0,,,,,,
ENGIE NORTH AMERICA,,,,,,58876.0,54198.0,
ENI PETROLEUM,442874.0,360074.0,331504.0,330708.0,343867.0,364535.0,371031.0,351951.0
ENLINK MIDSTREAM,,,,378634.0,1586867.0,1696846.0,4071375.0,3669006.0
ENOGEX HOLDINGS,170641.0,198763.0,,,,,,
ENRIDGE,25262.0,27386.0,27475.0,27762.0,,,,
ENTERPRISE PRODUCTS PARTNERS,5933711.0,6019395.0,6289954.0,6153017.0,5968484.0,7534329.0,7669436.0,7895746.0
ENVEN ENERGY VENTURES,,,,,,71364.0,138692.0,145775.0
EOG RESOURCES,3695422.0,4154040.0,5424472.0,5994572.0,4773869.0,4413393.0,4532773.0,5219444.0
EP ENERGY E&P CO,,650616.0,742130.0,614109.0,543427.0,2581907.0,1080759.0,1394306.0
EPIC MIDSTREAM,,,,,,,,58612.0
EPL OIL & GAS,114729.0,154046.0,145765.0,,,,,
EQT,1746374.0,267937.0,612890.0,428842.0,616926.0,1560146.0,2518748.0,936471.0
EQUAL ENERGY,54295.0,55139.0,41605.0,40236.0,42077.0,33094.0,27322.0,18972.0
EQUINOR US HOLDINGS,,,,,,,,696576.0
EQUITRANS MIDSTREAM,,,,,,,,1161856.0
ERG RESOURCES,,,58252.0,64744.0,31936.0,29667.0,39586.0,38725.0
ERGON,17889.0,2065.0,3941.0,6509.0,,,,
ESCAMBIA ASSET CO,345230.0,315722.0,357847.0,341088.0,325487.0,274444.0,243313.0,235785.0
EVERGREEN ENTERPRISE HOLDINGS,,,,,,556833.0,363009.0,383012.0
EXCO RESOURCES,622976.0,502128.0,566745.0,364097.0,326341.0,297555.0,348533.0,652833.0
EXELON,,,,,,,,41693.0
EXTERRAN HOLDINGS,65352.0,77803.0,31647.0,0.0,,,,
EXTRACTION OIL & GAS,,,,,73910.0,,349054.0,504577.0
EXXONMOBIL,11883563.0,14835260.0,12883495.0,12571712.0,12625439.0,14564927.0,15013833.0,13231477.0
FAIRWAY RESOURCES,,,,,,,326927.0,300051.0
FAMCOR OIL,233968.0,178772.0,209217.0,298742.0,,,,
FASKEN OIL AND RANCH,18338.0,30707.0,36277.0,22434.0,22489.0,7738.0,6316.0,4147.0
FDL OPERATING,,,,79059.0,58645.0,124484.0,171370.0,284531.0
FELIX ENERGY,,,,28214.0,,,,
FIELDWOOD ENERGY,,,428083.0,822173.0,828455.0,943827.0,610445.0,955136.0
FIML NATURAL RESOURCES,44572.0,57839.0,126641.0,,,,,
FL RICH GAS SERVICES,,,,53307.0,,,,
FLORIDA GAS TRANSMISSION,713056.0,47998.0,81313.0,109631.0,,,,
FLYWHEEL ENERGY,,,,,,,,2708496.0
FOREST OIL,711871.0,702707.0,334162.0,369164.0,,,,
FORMOSA PLASTICS CORP USA,63966.0,,111375.0,76296.0,93048.0,43602.0,29713.0,47351.0
FOUNDATION ENERGY,199421.0,294691.0,260937.0,251863.0,221929.0,219351.0,358762.0,306466.0
FOUR WINDS MIDSTREAM,,,,,,69542.0,109512.0,94824.0
FOURPOINT ENERGY,,,,,378510.0,683320.0,865345.0,1149306.0
FPL GROUP,,,,,3069.0,7948.0,11812.0,
FREEPORT LNG DEVELOPMENT,22344.0,21662.0,37179.0,39180.0,19283.0,456600.0,18565.0,13880.0
FREEPORT-MCMORAN,16297.0,18771.0,335059.0,349948.0,326633.0,111701.0,119920.0,130738.0
