RANK|STANDARD_COMPANY_NAME|SECTOR|GHG_CONTRIBUTION
488|PETRO-HUNT|Midstream|196825.97591900002
489|KASH OIL & GAS - BASIN 220|Upstream|194724.0
490|CALLON PETROLEUM|Midstream|191239.0
491|EGAN HUB STORAGE|Midstream|190001.0
492|VAQUERO PERMIAN GATHERING|Midstream|186582.0
493|CORE APPALACHIA OPERATING|Midstream|186249.0
494|MARUBENI INTERNATIONAL|Midstream|186239.403
495|LOUIS DREYFUS CORP|Midstream|186039.2646
496|CARBON NATURAL GAS|Midstream|183584.0
497|NEWARK E&P OPERATING|Upstream|183395.0
498|BRAVO NATURAL RESOURCES|Upstream|182938.0
499|MACQUARIE INFRASTRUCTURE CO|Midstream|182755.0
500|BBX OPERATING|Upstream|182476.0
501|MANTI EXPLORATION OPERATING|Upstream|182312.0
502|BLACK BEAR MIDSTREAM HOLDINGS|Midstream|181475.0
503|NBL MIDSTREAM HOLDINGS|Midstream|180447.0
504|CROWHEART ENERGY|Upstream|179098.0
505|TIMBER CREEK OPERATING|Midstream|176698.0
506|SILVERBOW RESOURCES|Upstream|175776.0
507|NAVAJO NATION OIL AND GAS|Upstream|175145.0
508|GDF SUEZ ENERGY NA|Midstream|175117.0
509|EXTERRAN HOLDINGS|Midstream|174802.0
510|LP 224|Midstream|174400.42787568003
511|WPX ENERGY|Midstream|173596.0
512|PATARA OIL & GAS|Upstream|173577.0
513|GULF PINE ENERGY OPERATING|Upstream|172264.0
514|OASIS PETROLEUM|Midstream|172226.0
515|NON-EXXONMOBIL INTERESTS|Midstream|169327.55
516|CORDILLERA ENERGY PARTNERS III|Upstream|167059.0
517|SEQUITUR EAST TEXAS|Midstream|166760.0
518|RICE ENERGY|Midstream|165693.0
519|STERLING ENERGY GROUP|Midstream|164514.0
520|COMPASS PRODUCTION PARTNERS|Midstream|164151.0
