REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK|STANDARD_COMPANY_NAME
2017|EXXONMOBIL CORP|N2O|Midstream|2868.4008|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CO2|Upstream|1870173.483|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CO2|Midstream|7664800.025999999|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CH4|Upstream|2927696.2309|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CH4|Midstream|914493.11|2.0|5.0|2.0|EXXONMOBIL
2015|EXXONMOBIL CORP|N2O|Upstream|7381.0|2.0|5.0|2.0|EXXONMOBIL
2015|EXXONMOBIL CORP|CO2|Upstream|2326735.0|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|N2O|Upstream|31.330000000000002|2.0|5.0|2.0|EXXONMOBIL
2015|EXXONMOBIL CORP|CH4|Upstream|3120225.0|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|N2O|Midstream|1653.372|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CO2|Upstream|2234440.3687|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CO2|Midstream|5667492.506|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CH4|Upstream|3478424.7196|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CH4|Midstream|159491.102|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|N2O|Upstream|4049.1267|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|N2O|Midstream|1011.192|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CO2|Upstream|1861076.2993|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CO2|Midstream|1990958.7879999997|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CH4|Upstream|3517098.8501|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|N2O|Upstream|4286.4184000000005|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|N2O|Upstream|4327.5997|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CO2|Upstream|10817.526000000002|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CH4|Upstream|2273191.9156|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|N2O|Upstream|6439.6576000000005|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|N2O|Midstream|2505.1164|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CH4|Midstream|637083.3928|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CO2|Upstream|2822556.7004|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CO2|Midstream|7122190.948|2.0|5.0|2.0|EXXONMOBIL
2015|DEVON ENERGY CORP|CH4|Upstream|1321255.0|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CO2|Midstream|41282.6322|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CH4|Upstream|1849.4832000000001|3.0|78.0|18.0|DEVON ENERGY
2018|DEVON ENERGY CORP|CH4|Midstream|5968.0726|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|N2O|Upstream|1.6527999999999998|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|N2O|Midstream|18.4962|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CO2|Upstream|2968.3255|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CO2|Midstream|39338.65120000001|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CH4|Upstream|1856.4043000000001|3.0|78.0|18.0|DEVON ENERGY
2017|DEVON ENERGY CORP|CH4|Midstream|649.372|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|N2O|Upstream|1.5494999999999999|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|N2O|Midstream|24.4452|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CO2|Upstream|2983.8205000000003|3.0|78.0|18.0|DEVON ENERGY
2016|DEVON ENERGY CORP|CO2|Midstream|47773.0214|3.0|78.0|18.0|DEVON ENERGY
