,REPORTING YEAR,PARENT_COMPANY,GAS,SECTOR,GHG_CONTRIBUTION,2018_UPSTREAM_RANK,2018_MIDSTREAM_RANK,2018_OVERALL_RANK,STANDARD_COMPANY_NAME
347,2011,CONOCO PHILLIPS,CH4,Upstream,55972.305,312,279,,conoco phillips
348,2011,CONOCO PHILLIPS,CO2,Midstream,2016377.595,312,279,,conoco phillips
349,2011,CONOCO PHILLIPS,CO2,Upstream,10831.158,312,279,,conoco phillips
350,2011,CONOCO PHILLIPS,N2O,Midstream,1030.033,312,279,,conoco phillips
351,2011,CONOCO PHILLIPS,N2O,Upstream,6.327,312,279,,conoco phillips
352,2012,CONOCO PHILLIPS,CH4,Midstream,25072.894,312,279,,conoco phillips
353,2012,CONOCO PHILLIPS,CH4,Upstream,24523.452,312,279,,conoco phillips
354,2012,CONOCO PHILLIPS,CO2,Midstream,1895109.932,312,279,,conoco phillips
355,2012,CONOCO PHILLIPS,CO2,Upstream,23313.663,312,279,,conoco phillips
356,2012,CONOCO PHILLIPS,N2O,Midstream,963.87,312,279,,conoco phillips
357,2012,CONOCO PHILLIPS,N2O,Upstream,26.307,312,279,,conoco phillips
358,2013,CONOCO PHILLIPS,CH4,Midstream,30565.87,312,279,,conoco phillips
359,2013,CONOCO PHILLIPS,CH4,Upstream,34962.336,312,279,,conoco phillips
360,2013,CONOCO PHILLIPS,CO2,Midstream,1974549.787,312,279,,conoco phillips
361,2013,CONOCO PHILLIPS,CO2,Upstream,13892.76,312,279,,conoco phillips
362,2013,CONOCO PHILLIPS,N2O,Midstream,1002.858,312,279,,conoco phillips
363,2013,CONOCO PHILLIPS,N2O,Upstream,7.992,312,279,,conoco phillips
364,2014,CONOCO PHILLIPS,CH4,Midstream,32926.088,312,279,,conoco phillips
365,2014,CONOCO PHILLIPS,CH4,Upstream,20392.92,312,279,,conoco phillips
366,2014,CONOCO PHILLIPS,CO2,Midstream,1873788.189,312,279,,conoco phillips
367,2014,CONOCO PHILLIPS,CO2,Upstream,16010.973,312,279,,conoco phillips
368,2014,CONOCO PHILLIPS,N2O,Midstream,984.808,312,279,,conoco phillips
369,2014,CONOCO PHILLIPS,N2O,Upstream,9.324,312,279,,conoco phillips
370,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,5064.16,312,279,,conoco phillips golden pass holdings
371,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CO2,Midstream,422.84,312,279,,conoco phillips golden pass holdings
372,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,N2O,Midstream,0.248,312,279,,conoco phillips golden pass holdings
373,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,4809.464,312,279,,conoco phillips golden pass holdings
374,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CO2,Midstream,139.996,312,279,,conoco phillips golden pass holdings
375,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,N2O,Midstream,0.124,312,279,,conoco phillips golden pass holdings
376,2013,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,21.824,312,279,,conoco phillips golden pass holdings
377,2014,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,6.076,312,279,,conoco phillips golden pass holdings
507,2011,Conoco Philips Company,CH4,Midstream,2347.52,312,279,,conoco philips
508,2011,Conoco Philips Company,CO2,Midstream,19585.3,312,279,,conoco philips
509,2011,Conoco Philips Company,N2O,Midstream,13.16,312,279,,conoco philips
510,2012,Conoco Philips Company,CH4,Midstream,2152.36,312,279,,conoco philips
511,2012,Conoco Philips Company,CO2,Midstream,20086.36,312,279,,conoco philips
512,2012,Conoco Philips Company,N2O,Midstream,11.62,312,279,,conoco philips
513,2013,Conoco Philips Company,CH4,Midstream,1775.62,312,279,,conoco philips
514,2013,Conoco Philips Company,CO2,Midstream,18224.78,312,279,,conoco philips
515,2013,Conoco Philips Company,N2O,Midstream,7.7,312,279,,conoco philips
516,2014,Conoco Philips Company,CH4,Midstream,676.06,312,279,,conoco philips
517,2014,Conoco Philips Company,CO2,Midstream,19243.42,312,279,,conoco philips
518,2014,Conoco Philips Company,N2O,Midstream,10.22,312,279,,conoco philips
519,2011,ConocoPhillips Company,CH4,Midstream,1463,312,279,,conocophillips
520,2011,ConocoPhillips Company,CO2,Midstream,126363,312,279,,conocophillips
521,2011,ConocoPhillips Company,N2O,Midstream,71,312,279,,conocophillips
522,2012,ConocoPhillips Company,CH4,Midstream,1427,312,279,,conocophillips
523,2012,ConocoPhillips Company,CO2,Midstream,111035,312,279,,conocophillips
524,2012,ConocoPhillips Company,N2O,Midstream,62.5,312,279,,conocophillips
525,2013,ConocoPhillips Company,CH4,Midstream,739,312,279,,conocophillips
526,2013,ConocoPhillips Company,CO2,Midstream,111867,312,279,,conocophillips
527,2013,ConocoPhillips Company,N2O,Midstream,63,312,279,,conocophillips
528,2014,ConocoPhillips Company,CH4,Midstream,576.5,312,279,,conocophillips
529,2014,ConocoPhillips Company,CO2,Midstream,107300,312,279,,conocophillips
530,2014,ConocoPhillips Company,N2O,Midstream,60.5,312,279,,conocophillips
4709,2011,CONOCO PHILLIPS,CH4,Midstream,111362.2608,312,279,,conoco phillips
4710,2011,CONOCO PHILLIPS,CH4,Upstream,6565226,312,279,,conoco phillips
4711,2011,CONOCO PHILLIPS,CO2,Midstream,1670680.772,312,279,,conoco phillips
4712,2011,CONOCO PHILLIPS,CO2,Upstream,1456685,312,279,,conoco phillips
4713,2011,CONOCO PHILLIPS,N2O,Midstream,810.2370875,312,279,,conoco phillips
4714,2011,CONOCO PHILLIPS,N2O,Upstream,1087.25,312,279,,conoco phillips
4715,2012,CONOCO PHILLIPS,CH4,Midstream,50160,312,279,,conoco phillips
4716,2012,CONOCO PHILLIPS,CH4,Upstream,5536630.25,312,279,,conoco phillips
4717,2012,CONOCO PHILLIPS,CO2,Midstream,216609,312,279,,conoco phillips
4718,2012,CONOCO PHILLIPS,CO2,Upstream,1701092,312,279,,conoco phillips
4719,2012,CONOCO PHILLIPS,N2O,Midstream,122,312,279,,conoco phillips
4720,2012,CONOCO PHILLIPS,N2O,Upstream,1354.75,312,279,,conoco phillips
4721,2013,CONOCO PHILLIPS,CH4,Midstream,39382,312,279,,conoco phillips
4722,2013,CONOCO PHILLIPS,CH4,Upstream,7503151,312,279,,conoco phillips
4723,2013,CONOCO PHILLIPS,CO2,Midstream,44069,312,279,,conoco phillips
4724,2013,CONOCO PHILLIPS,CO2,Upstream,1568456.5,312,279,,conoco phillips
4725,2013,CONOCO PHILLIPS,N2O,Midstream,24,312,279,,conoco phillips
4726,2013,CONOCO PHILLIPS,N2O,Upstream,1142.5,312,279,,conoco phillips
4727,2014,CONOCO PHILLIPS,CH4,Midstream,26745,312,279,,conoco phillips
4728,2014,CONOCO PHILLIPS,CH4,Upstream,4506786.5,312,279,,conoco phillips
4729,2014,CONOCO PHILLIPS,CO2,Midstream,149084,312,279,,conoco phillips
4730,2014,CONOCO PHILLIPS,CO2,Upstream,1643043.5,312,279,,conoco phillips
4731,2014,CONOCO PHILLIPS,N2O,Midstream,84,312,279,,conoco phillips
4732,2014,CONOCO PHILLIPS,N2O,Upstream,1240,312,279,,conoco phillips
5151,2011,ConocoPhillips,CH4,Upstream,37747,312,279,,conocophillips
5152,2011,ConocoPhillips,CO2,Upstream,772144,312,279,,conocophillips
5153,2011,ConocoPhillips,N2O,Upstream,531,312,279,,conocophillips
5154,2012,ConocoPhillips,CH4,Upstream,35294,312,279,,conocophillips
5155,2012,ConocoPhillips,CO2,Upstream,716434,312,279,,conocophillips
5156,2012,ConocoPhillips,N2O,Upstream,523,312,279,,conocophillips
5157,2013,ConocoPhillips,CH4,Upstream,23806,312,279,,conocophillips
5158,2013,ConocoPhillips,CO2,Upstream,733796,312,279,,conocophillips
5159,2013,ConocoPhillips,N2O,Upstream,535,312,279,,conocophillips
5160,2014,ConocoPhillips,CH4,Upstream,22565,312,279,,conocophillips
5161,2014,ConocoPhillips,CO2,Upstream,755490,312,279,,conocophillips
5162,2014,ConocoPhillips,N2O,Upstream,613,312,279,,conocophillips
5163,2011,ConocoPhillips Company,CH4,Upstream,263962,312,279,,conocophillips
5164,2011,ConocoPhillips Company,CO2,Upstream,154078,312,279,,conocophillips
5165,2011,ConocoPhillips Company,N2O,Upstream,81,312,279,,conocophillips
5166,2012,ConocoPhillips Company,CH4,Upstream,279458,312,279,,conocophillips
5167,2012,ConocoPhillips Company,CO2,Upstream,445330,312,279,,conocophillips
5168,2012,ConocoPhillips Company,N2O,Upstream,265,312,279,,conocophillips
5169,2013,ConocoPhillips Company,CH4,Upstream,128340,312,279,,conocophillips
5170,2013,ConocoPhillips Company,CO2,Upstream,488445,312,279,,conocophillips
5171,2013,ConocoPhillips Company,N2O,Upstream,308,312,279,,conocophillips
5172,2014,ConocoPhillips Company,CH4,Upstream,147644,312,279,,conocophillips
5173,2014,ConocoPhillips Company,CO2,Upstream,911876,312,279,,conocophillips
5174,2014,ConocoPhillips Company,N2O,Upstream,549,312,279,,conocophillips
