PARENT_COMPANY|STANDARD_COMPANY_NAME
Cimarex Energy Co #774031|CIMAREX ENERGY
Cimarex Energy Co.|CIMAREX ENERGY
Cimarex Energy Co. of Colorado|CIMAREX ENERGY
Cimarex Energy Company|CIMAREX ENERGY
Classic Hydrocarbons, LLC|CLASSIC HYDROCARBONS
Clayton Williams Energy, Inc.|CLAYTON WILLIAMS ENERGY
Cogent Midstream WesTex, LLC|COGENT MIDSTREAM WESTEX
Cogent Midstream Westex, LLC|COGENT MIDSTREAM WESTEX
Coleman Oil and Gas, Inc.|COLEMAN OIL AND GAS
Columbia Pipeline Group|COLUMBIA PIPELINE GROUP
Conoco Philips Company|CONOCOPHILLIPS
ConocoPhillips|CONOCOPHILLIPS
ConocoPhillips Company|CONOCOPHILLIPS
Continental Resources, Inc.|CONTINENTAL RESOURCES
Cook Inlet Energy LLC|COOK INLET ENERGY
Cordillera Energy Partners III, LLC|CORDILLERA ENERGY PARTNERS III
Core Appalachia Operating LLC|CORE APPALACHIA OPERATING
Coronado Midstream LLC|CORONADO MIDSTREAM
Costar Midstream, LLC|COSTAR MIDSTREAM
CostarMidstream, LLC|COSTARMIDSTREAM
Covey Park Energy|COVEY PARK ENERGY
Cox Oil Offshore, LLC|COX OIL
Crescent Point Energy U.S. Corporation|CRESCENT POINT ENERGY US
Crestone Peak Resources LP|CRESTONE PEAK RESOURCES
Cross Timbers Energy, LLC|CROSS TIMBERS ENERGY
Crosstex CCNG Processing Ltd|CROSSTEX ENERGY SERVICES
Crosstex CCNG Processing Ltd.|CROSSTEX ENERGY SERVICES
Crosstex LIG, LLC|CROSSTEX ENERGY SERVICES
Crosstex North Texas Gathering, LP|CROSSTEX ENERGY SERVICES
Crosstex North Texas Pipeline, LP|CROSSTEX ENERGY SERVICES
Crosstex Processing Services, LLC|CROSSTEX ENERGY SERVICES
Crowheart Energy LLC|CROWHEART ENERGY
Crown Energy Partners LLC|CROWN ENERGY PARTNERS
DABB ENERGY CO|DABB ENERGY
DAVIS GAS PROCESSING INC|DAVIS GAS PROCESSING
DCP MIDSTREAM HOLDING, LLC|DCP MIDSTREAM
DCP MIDSTREAM LP|DCP MIDSTREAM
DCP MIDSTREAM PARTNERS, LP|DCP MIDSTREAM
DCP MIDSTREAM, LP|DCP MIDSTREAM
DCP Midstream Partners LP|DCP MIDSTREAM
DCP Midstream Partners, LP|DCP MIDSTREAM
DCP Midstream, LP|DCP MIDSTREAM
DCP OPERATING CO, LP|DCP MIDSTREAM
DE3 Operating LLC|DE3 OPERATING
DENBURY RESOURCES INC|DENBURY RESOURCES
DENBURY RESOURCES, INC|DENBURY RESOURCES
DEVON ENERGY|DEVON ENERGY
DEVON ENERGY CORP|DEVON ENERGY
DEVON ENERGY CORPORATION|DEVON ENERGY
DEVON GAS SERVICES, LP|DEVON ENERGY
DGP TAURUS FIELD SERVICES LP|DGP TAURUS FIELD SERVICES
DGP Taurus Field, Services, LP|DGP TAURUS FIELD, SERVICES
DIAMONDBACK ENERGY|DIAMONDBACK ENERGY
DISCOVERY NATURAL RESOURCES LLC|DISCOVERY NATURAL RESOURCES
DIVERSIFIED GAS & OIL PLC|DIVERSIFIED GAS & OIL
DIVIDE CREEK GATHERING SYSTEM LLC|DIVIDE CREEK GATHERING SYSTEM
DJ RESOURCES LLC|DJ RESOURCES
DJ Resources, LLC|DJ RESOURCES
DJR Operating LLC - San Juan Basin Oil & Gas Production|DJ RESOURCES
DOMINION ENERGY INC|DOMINION ENERGY
DOMINION RESOURCES INC|DOMINION ENERGY
DOW CHEMICAL|DOW CHEMICAL
DTE ENERGY CO|DTE ENERGY
DTE Energy Co|DTE ENERGY
DUGAN PRODUCTION CORP|DUGAN PRODUCTION
DUNCAN OIL PROPERTIES INC|DUNCAN OIL PROPERTIES
DURANGO MIDSTREAM LLC|DURANGO MIDSTREAM
Dabb Energy Company|DABB ENERGY
Dart Oil & Gas Corp|DART OIL & GAS
Davis Gas Processing, Inc|DAVIS GAS PROCESSING
Denbury Onshore, LLC|DENBURY RESOURCES
Destin Pipeline Company LLC|DESTIN PIPELINE COMPANY
Devon Energy Corporation|DEVON ENERGY
Devon Energy Production Co LP|DEVON ENERGY
Diamondback Energy|DIAMONDBACK ENERGY
Discovery Natural Resources, LLC|DISCOVERY NATURAL RESOURCES
Diversified Oil & Gas|DIVERSIFIED OIL & GAS
Divide Creek Gathering System LLC|DIVIDE CREEK GATHERING SYSTEM
Dow|DOW CHEMICAL
Dugan Production Corp|DUGAN PRODUCTION
Durango Midstream LLC|DURANGO MIDSTREAM
Dynamic Offshore Resources, LLC|DYNAMIC OFFSHORE RESOURCES
E&B Natural Resources|E&B NATURAL RESOURCES
EAGLE PETROLEUM LLC|EAGLE PETROLEUM
EAGLE ROCK ENERGY PARTNERS LP|EAGLE ROCK ENERGY PARTNERS
EAGLE ROCK ENERGY PARTNERS, LP|EAGLE ROCK ENERGY PARTNERS
EAGLECLAW MIDSTREAM SERVICES LLC|EAGLECLAW MIDSTREAM SERVICES
EAGLERIDGE OPERATING LLC|EAGLERIDGE OPERATING
EARTHSTONE OPERATING LLC|EARTHSTONE OPERATING
ECLIPSE RESOURCES CORP|ECLIPSE RESOURCES
ECOELECTRICA LP|ECOELECTRICA
ECOELECTRICA, LP|ECOELECTRICA
EDF Trading Resources, LLC|EDF TRADING RESOURCES
EDGEMARC ENERGY HOLDINGS LLC|EDGEMARC ENERGY HOLDINGS
EFS MIDSTREAM LLC|EFS MIDSTREAM
EFS Midstream LLC|EFS MIDSTREAM
EL PASO CORP|KINDER MORGAN
EL PASO Pipeline Partners, L.P|KINDER MORGAN
EL PASO Pipeline Partners, L.P.|KINDER MORGAN
EL PASO RUBY HOLDING CO LLC|KINDER MORGAN
ELK PETROLEUM LTD|ELK PETROLEUM
ENABLE MIDSTREAM PARTNERS LP|ENABLE MIDSTREAM PARTNERS
ENABLE MIDSTREAM PARTNERS, LP|ENABLE MIDSTREAM PARTNERS
ENBRIDGE ENERGY MANAGEMENT|ENBRIDGE
ENBRIDGE INC|ENBRIDGE
ENBRIDGE US INC|ENBRIDGE
ENCANA OIL & GAS (USA) INC|ENCANA OIL & GAS (USA)
ENCINO ENERGY LLC|ENCINO ENERGY
ENDEAVOR ENERGY RESOURCES LP|ENDEAVOR ENERGY RESOURCES
ENDURING RESOURCES LLC|ENDURING RESOURCES
ENDURING RESOURCES, LLC|ENDURING RESOURCES
ENEERVEST OPERATING LLC|ENEERVEST OPERATING
ENERGEN CORP|ENERGEN
ENERGY CORP OF AMERICA|ENERGY CORP OF AMERICA
ENERGY TRANSFER PARTNERS LP|ENERGY TRANSFER PARTNERS
ENERGY TRANSFER PARTNERS, LP|ENERGY TRANSFER PARTNERS
ENERGY XXI|ENERGY XXI
ENERGY XXI GOM LLC|ENERGY XXI
ENERGY XXI ONSHORE LLC|ENERGY XXI
ENERPLUS RESOURCES CORP|ENERPLUS RESOURCES
ENERVEST OPERATING LLC|ENERVEST OPERATING
ENGIE NORTH AMERICA INC|ENGIE NORTH AMERICA
ENGIE North America Inc|ENGIE NORTH AMERICA
ENI PETROLEUM US LLC|ENI PETROLEUM
ENI Petroleum|ENI PETROLEUM
ENI US OPERATING CO INC|ENI PETROLEUM
ENI US Operating Co Inc|ENI PETROLEUM
ENLINK MIDSTREAM LLC|ENLINK MIDSTREAM
ENOGEX HOLDINGS LLC|ENOGEX HOLDINGS
ENRIDGE INC|ENRIDGE
ENTERPRISE GAS PROCESSING LLC|ENTERPRISE PRODUCTS PARTNERS
ENTERPRISE LLC|ENTERPRISE PRODUCTS PARTNERS
ENTERPRISE PRODUCTS PARTNERS LP|ENTERPRISE PRODUCTS PARTNERS
ENTERPRISE PRODUCTS PARTNERS, LP|ENTERPRISE PRODUCTS PARTNERS
ENVEN ENERGY CORP|ENVEN ENERGY VENTURES
ENVEN ENERGY VENTURES LLC|ENVEN ENERGY VENTURES
EOG RESOURCES INC|EOG RESOURCES
EOG RESOURCES, INC|EOG RESOURCES
EOG Resources, Inc.|EOG RESOURCES
EOG Y Resources Inc|EOG RESOURCES
EP ENERGY E&P CO LP|EP ENERGY E&P CO
EP Energy E&P Company, LP|EP ENERGY E&P CO
EPIC MIDSTREAM LLC|EPIC MIDSTREAM
EPL OIL & GAS, INC.|EPL OIL & GAS
EQT CORP|EQT
EQUAL ENERGY|EQUAL ENERGY
EQUINOR GULF OF MEXICO LLC|EQUINOR US HOLDINGS
ERG RESOURCES LLC|ERG RESOURCES
ERG Resources, LLC|ERG RESOURCES
ESCAMBIA ASSET CO LLC|ESCAMBIA ASSET CO
EVERGREEN ENTERPRISE HOLDINGS LLC|EVERGREEN ENTERPRISE HOLDINGS
EXCO RESOURCES INC|EXCO RESOURCES
EXCO RESOURCES, INC|EXCO RESOURCES
EXCO RESOURCES, INC.|EXCO RESOURCES
EXCO RESOURCES, INCORPORATED|EXCO RESOURCES
EXCO Resources, Inc.|EXCO RESOURCES
EXCO/HGI JV Assets, LLC|EXCO RESOURCES
EXTERRAN HOLDINGS, INC|EXTERRAN HOLDINGS
EXTRACTION OIL & GAS INC|EXTRACTION OIL & GAS
EXXON MOBIL CORP|EXXONMOBIL
EXXONMOBIL CORP|EXXONMOBIL
EXXONMOBIL PRODUCTION COMPANY - Joint Interest US|EXXONMOBIL
Eagle Petroleum, LLC|EAGLE PETROLEUM
Eagle Rock GOM, L.P.|EAGLE ROCK ENERGY PARTNERS
EagleClaw Midstream Services, LLC|EAGLECLAW MIDSTREAM SERVICES
EagleClaw Mistream Services, LLC|EAGLECLAW MISTREAM SERVICES
EagleRidge Operating LLC|EAGLERIDGE OPERATING
East Tennessee Natural Gas, LLC|EAST TENNESSEE NATURAL GAS
Egan Hub Storage, LLC|EGAN HUB STORAGE
El Paso E&P Company, LP|KINDER MORGAN
El Paso Pipeline Partners, L.P|KINDER MORGAN
El Paso Pipeline Partners, L.P.|KINDER MORGAN
El Paso Pipeline Partners, LP|KINDER MORGAN
El Paso Pipeline Partners, LP.|KINDER MORGAN
El Paso Pipelines Partners, L.P.|KINDER MORGAN
El Paso Ruby Holding Company, L.L.C.|KINDER MORGAN
Eleanor Whitcomb, Robert Keady, & Linda K Boyd Trustees|ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K BOYD TRUSTEES
Eleanor Whitcomb, Robert Keady, & Linda K. Boyd Trustees|ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K. BOYD TRUSTEES
Elk Petroleum Madden Gas & CO2 LLC|ELK PETROLEUM MADDEN GAS & CO2
Elm Ridge Exploration Company, LLC|ELM RIDGE EXPLORATION COMPANY
EnLink Midstream|ENLINK MIDSTREAM
EnLink Midstream Services LLC|ENLINK MIDSTREAM
EnLink Midstream Services, LLC|ENLINK MIDSTREAM
EnLink North Texas Gathering, LP|ENLINK MIDSTREAM
EnLink North Texas Pipeline, LP|ENLINK MIDSTREAM
EnLink Permian, LLC|ENLINK MIDSTREAM
EnLink Texas Processing, LP|ENLINK MIDSTREAM
EnVen Energy Ventures LLC|ENVEN ENERGY VENTURES
Enbridg Energy Partners, L.P.|ENBRIDGE
Enbridge (US) INC|ENBRIDGE
Enbridge (US) Inc|ENBRIDGE
Enbridge Energy Partners LP|ENBRIDGE
Enbridge Energy Partners, L.P.|ENBRIDGE
Enbridge Energy Patners, L.P.|ENBRIDGE
Enbridge Inc|ENBRIDGE
Encana Oil & Gas (USA) Inc.|ENCANA OIL & GAS (USA)
Encino Energy, LLC|ENCINO ENERGY
Endeavor Energy Resources LP|ENDEAVOR ENERGY RESOURCES
Enduring Resources|ENDURING RESOURCES
EneerVest Operating, LLC|ENEERVEST OPERATING
EnerVest Operating, LLC|ENERVEST OPERATING
Energen Corporation|ENERGEN
Energy Corporation of America|ENERGY CORP OF AMERICA
Energy Resource Technology, Inc.|ENERGY RESOURCE TECHNOLOGY
Energy XXI GOM, LLC|ENERGY XXI
Enerplus Resources Corporation|ENERPLUS RESOURCES
Enervest Management Partners, Ltd.|ENERVEST OPERATING
Enervest Operating, L.L.C.|ENERVEST OPERATING
Enervest Operating, LLC|ENERVEST OPERATING
Enervest Operating, LLC.|ENERVEST OPERATING, LLC
Eni Petroleum Co. Inc.|ENI PETROLEUM
Eni Petroleum US LLC|ENI PETROLEUM
Eni US Operting Company Incorporated|ENI PETROLEUM
Enterprise Field Services, LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Gas Processing|ENTERPRISE PRODUCTS PARTNERS
Enterprise Gas Processing, LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Hydrocarbons, L.P.|ENTERPRISE PRODUCTS PARTNERS
Enterprise Hydrocarbons, LP|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products Operating LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products Operating, LLC|ENTERPRISE PRODUCTS PARTNERS
Equal Energy|EQUAL ENERGY
Equinor Gulf of Mexico LLC|EQUINOR US HOLDINGS
Equinor US Holdings Inc|EQUINOR US HOLDINGS
Equitrans Midstream|EQUITRANS MIDSTREAM
Ergon, Inc|ERGON
Escambia Asset Co. LLC|ESCAMBIA ASSET CO
Evergreen Enterprise Holdings LLC|EVERGREEN ENTERPRISE HOLDINGS
